Strains	Norm_Distance_tip_cz	Group
RCL52	0.155219180328697	Group1
RCL58	0.328497997919729	Group1
RCL130	0.465855703154209	Group1
RMF279	1.24325012965668	Group1
L61	1.4546604132155	Group1
RMF26	1.46635954967531	Group1
NB	1.65038587337337	Group2
RCL69	1.66065187519319	Group2
L334	1.68927196183717	Group2
L145	1.69510875289824	Group2
L164	1.8305685320538	Group2
RMF110	1.91190143476164	Group2
L335	1.9158659120189	Group2
L22	1.99025104756611	Group2
RMF397	2.09851567189895	Group2
L179	2.11174067115418	Group2
RMF88	2.12220870937648	Group3
RMF300	2.12986954136364	Group3
L222	2.2180834146602	Group3
L159	2.23546417030683	Group3
L183	2.29424404286623	Group3
L176	2.31027648039437	Group3
L288	2.38375504653959	Group3
RMF164	2.39726888096359	Group3
RMF329	2.43541002634019	Group3
L50	2.49755189700102	Group4
RMF369	2.52451852491692	Group4
L67	2.56614802855744	Group4
RMF160	2.58284861831873	Group4
L306	2.66611835483762	Group4
RMF366	2.69563193046466	Group4
L32	2.71691404517262	Group4
RCL4	2.77469247214367	Group4
L86	2.81252599503377	Group4
L151	2.85186511472964	Group5
L5	2.8961103377283	Group5
L23	2.91554128803139	Group5
L201	3.25621046909702	Group5
L363	3.27398843263969	Group5
L226	3.60113588064987	Group5
L177	3.62504303554526	Group5
L247	3.68861186523836	Group5
CDEF	3.71205827616728	Group5
