Strains	Cluster
1	EColi	Cluster3
2	EColi_Fluorescent	Cluster2
3	L1	Cluster6
4	L10	Cluster4
5	L100	Cluster1
6	L102	Cluster5
7	L104	Cluster3
8	L106	Cluster1
9	L108	Cluster5
10	L11	Cluster4
11	L111	Cluster2
12	L112	Cluster5
13	L113	Cluster3
14	L117	Cluster5
15	L119	Cluster5
16	L121	Cluster3
17	L122	Cluster5
18	L123	Cluster5
19	L125	Cluster3
20	L126	Cluster4
21	L127	Cluster2
22	L129	Cluster3
23	L13	Cluster6
24	L130	Cluster1
25	L131	Cluster1
26	L132	Cluster1
27	L137	Cluster1
28	L139	Cluster4
29	L141	Cluster2
30	L145	Cluster3
31	L15	Cluster2
32	L151	Cluster4
33	L154	Cluster1
34	L155	Cluster1
35	L159	Cluster4
36	L16	Cluster4
37	L160	Cluster1
38	L161	Cluster5
39	L164	Cluster3
40	L167	Cluster4
41	L168	Cluster4
42	L17	Cluster4
43	L170	Cluster1
44	L171	Cluster2
45	L172	Cluster2
46	L176	Cluster2
47	L177	Cluster1
48	L179	Cluster2
49	L180	Cluster5
50	L182	Cluster6
51	L183	Cluster2
52	L185	Cluster5
53	L186	Cluster5
54	L187	Cluster6
55	L189	Cluster6
56	L191	Cluster1
57	L194	Cluster2
58	L196	Cluster6
59	L198	Cluster4
60	L2	Cluster1
61	L20	Cluster4
62	L201	Cluster2
63	L202	Cluster3
64	L203	Cluster1
65	L205	Cluster4
66	L208	Cluster4
67	L21	Cluster4
68	L210	Cluster6
69	L216	Cluster4
70	L22	Cluster3
71	L220	Cluster6
72	L222	Cluster6
73	L226	Cluster4
74	L23	Cluster4
75	L230	Cluster4
76	L231	Cluster2
77	L233	Cluster3
78	L234	Cluster6
79	L24	Cluster4
80	L242	Cluster4
81	L244	Cluster6
82	L245	Cluster2
83	L247	Cluster4
84	L248	Cluster2
85	L25	Cluster4
86	L250	Cluster6
87	L254	Cluster1
88	L257	Cluster4
89	L258	Cluster3
90	L26	Cluster4
91	L261	Cluster5
92	L262	Cluster1
93	L263	Cluster6
94	L264	Cluster6
95	L265	Cluster2
96	L267	Cluster6
97	L272	Cluster1
98	L274	Cluster4
99	L278	Cluster4
100	L28	Cluster4
101	L280	Cluster1
102	L283	Cluster6
103	L285	Cluster4
104	L288	Cluster2
105	L289	Cluster1
106	L29	Cluster4
107	L291	Cluster4
108	L294	Cluster3
109	L296	Cluster6
110	L299	Cluster6
111	L3	Cluster6
112	L30	Cluster4
113	L304	Cluster4
114	L306	Cluster2
115	L307	Cluster4
116	L311	Cluster3
117	L313	Cluster1
118	L314	Cluster2
119	L32	Cluster4
120	L320	Cluster1
121	L321	Cluster6
122	L324	Cluster1
123	L325	Cluster5
124	L326	Cluster4
125	L33	Cluster4
126	L334	Cluster2
127	L335	Cluster2
128	L336	Cluster5
129	L337	Cluster2
130	L339	Cluster4
131	L34	Cluster4
132	L341	Cluster1
133	L343	Cluster1
134	L344	Cluster1
135	L347	Cluster5
136	L350	Cluster6
137	L351	Cluster3
138	L354	Cluster1
139	L357	Cluster6
140	L359	Cluster6
141	L361	Cluster1
142	L363	Cluster4
143	L369	Cluster4
144	L37	Cluster4
145	L371	Cluster1
146	L374	Cluster4
147	L38	Cluster4
148	L380	Cluster4
149	L383	Cluster3
150	L384	Cluster2
151	L386	Cluster1
152	L391	Cluster4
153	L394	Cluster1
154	L395	Cluster4
155	L396	Cluster3
156	L399	Cluster1
157	L4	Cluster4
158	L400	Cluster6
159	L401	Cluster6
160	L404	Cluster1
161	L405	Cluster5
162	L406	Cluster6
163	L407	Cluster4
164	L408	Cluster6
165	L41	Cluster4
166	L414	Cluster6
167	L415	Cluster1
168	L416	Cluster6
169	L42	Cluster4
170	L420	Cluster6
171	L427	Cluster2
172	L434	Cluster1
173	L436	Cluster1
174	L44	Cluster3
175	L443	Cluster6
176	L446	Cluster2
177	L453	Cluster4
178	L454	Cluster6
179	L456	Cluster2
180	L459	Cluster2
181	L460	Cluster6
182	L465	Cluster4
183	L466	Cluster2
184	L469	Cluster4
185	L48	Cluster3
186	L49	Cluster3
187	L5	Cluster1
188	L50	Cluster2
189	L51	Cluster2
190	L53	Cluster4
191	L58	Cluster1
192	L59	Cluster2
193	L61	Cluster4
194	L62	Cluster4
195	L64	Cluster2
196	L67	Cluster4
197	L68	Cluster1
198	L69	Cluster5
199	L7	Cluster1
200	L70	Cluster3
201	L72	Cluster6
