Ion	m1.estimate	m1.p.value	p.adj
B11	-0.810030938881749	8.162151810039e-11	1.38756580770663e-09
Na23	-0.612093741719212	1.6513883302347e-05	0.000280736016139899
Co59	-0.519169295940631	0.000426786233208284	0.00725536596454083
Sr88	-0.28370086535382	0.0686498268775737	1
Mg24	-0.277214826222461	0.0755095988256048	1
Zn66	-0.271631621113816	0.0818355862324999	1
Mo98	-0.147097281577859	0.35257799321026	1
P31	-0.12011871550522	0.448621496611584	1
As75	0.00923346238668965	0.953720769775039	1
Fe56	0.220114134686608	0.161303881032393	1
Cd111	0.286749402134973	0.065600641455165	1
Rb85	0.303881876107271	0.0504074301709597	0.856926312906316
Cu63	0.345431793509879	0.0250544091018441	0.42592495473135
Ca43	0.497866975351768	0.000793755386964895	0.0134938415784032
S34	0.52382140235982	0.000370663464988171	0.00630127890479891
Mn55	0.567215074742425	8.97021099879014e-05	0.00152493586979432
K39	0.76550321130218	3.52632608523979e-09	5.99475434490765e-08
