Ion	m1.estimate	m1.p.value	p.adj
B11	-0.756635605908128	6.77116522602792e-09	1.15109808842475e-07
Mg24	-0.54187933845824	0.000210255230176936	0.00357433891300792
Co59	-0.499859620991957	0.000750267102867798	0.0127545407487526
Na23	-0.489714536490086	0.000996039273907655	0.0169326676564301
Zn66	-0.368028093264069	0.0164870453588775	0.280279771100918
P31	-0.315933073623817	0.0415275101553934	0.705967672641687
Sr88	-0.248494198089385	0.112551228462349	1
Mo98	-0.0824038494930614	0.603896566495888	1
Fe56	0.092579308625745	0.559805451425359	1
As75	0.0968384537542919	0.541807582826084	1
Cd111	0.212935401485288	0.175761966255142	1
Rb85	0.228694947149488	0.145179744806853	1
Cu63	0.424816470894205	0.00504373329778593	0.0857434660623608
S34	0.464907098396756	0.00192218384571738	0.0326771253771954
Ca43	0.493302916090129	0.000901947139193207	0.0153331013662845
Mn55	0.52372248102426	0.000371784218664479	0.00632033171729615
K39	0.66446132131688	1.59881160595349e-06	2.71797973012093e-05
