Strains	Mean	p.value	est	p.adj	Significance	Variable
RCL4	-0.559479698622165	3.71281680268849e-17	-0.755532731079897	3.15589428228522e-15	Down	Root
RMF329HK	-0.0847949656963542	0.00240972470645986	-0.280847998154087	0.204826600049088	NoSignificant	Root
RMF329	-0.232989946198426	0.000952330620468154	-0.429042978656159	0.0809481027397931	Down	Root
RCL4HK	0.131592169169399	0.345596271379775	-0.0644608632883336	1	NoSignificant	Root
RMF26HK	-0.227409047858269	0.000119320064396054	-0.423462080316001	0.0101422054736645	Down	Root
RMF397HK	0.037448320235491	0.0336929443004745	-0.158604712222242	1	NoSignificant	Root
RMF397	-0.0968142197575628	0.0262672934118821	-0.292867252215295	1	NoSignificant	Root
RMF26	-0.570087706597028	4.13009865241834e-15	-0.76614073905476	3.51058385455559e-13	Down	Root
CDEF	0.350430618435152	0.000420379634487427	0.15437758597742	0.0357322689314313	Up	Root
RMF32	0.119047544959152	0.438697844012175	-0.0770054874985808	1	NoSignificant	Root
RMF32HK	0.22433018758811	0.781065174097898	0.0282771551303778	1	NoSignificant	Root
L32	-0.299112230718039	1.12202008678623e-06	-0.495165263175771	9.53717073768292e-05	Down	Root
L32HK	0.220786736103378	0.789260243723132	0.0247337036456455	1	NoSignificant	Root
L5	-0.315446163651072	1.78386390855117e-05	-0.511499196108804	0.00151628432226849	Down	Root
L5HK	-0.0150778642746703	0.0407185998737769	-0.211130896732403	1	NoSignificant	Root
L23	-0.202247432527303	0.000246894492111591	-0.398300464985035	0.0209860318294852	Down	Root
L23HK	0.159212356365312	0.698732972441873	-0.0368406760924208	1	NoSignificant	Root
L61	-1.56925551650982	2.8915154765679e-39	-1.76530854896755	2.45778815508272e-37	Down	Root
L61HK	0.0219033247848086	0.0635113227465098	-0.174149707672924	1	NoSignificant	Root
L183	-0.00340454695956776	0.327028653852637	-0.1994575794173	1	NoSignificant	Root
L179	0.219201395859915	0.91071744100109	0.0231483634021828	1	NoSignificant	Root
L67	0.106484566299367	0.637499097502746	-0.0895684661583651	1	NoSignificant	Root
L86	0.581542212441676	0.0666121167483716	0.385489179983943	1	NoSignificant	Root
L183HK	-0.359517631907606	0.00474057806189714	-0.555570664365338	0.402949135261257	NoSignificant	Root
L179HK	0.339588025968071	0.47642093956149	0.143534993510338	1	NoSignificant	Root
L67HK	0.500966788086481	0.141454795662246	0.304913755628748	1	NoSignificant	Root
L86HK	0.122259423728345	0.695061709060576	-0.0737936087293871	1	NoSignificant	Root
L151HK	0.293763719701071	0.483739412647493	0.0977106872433388	1	NoSignificant	Root
L201HK	0.443404152346549	0.101611644165852	0.247351119888817	1	NoSignificant	Root
L363HK	0.205141161648616	0.955577530771359	0.00908812919088359	1	NoSignificant	Root
L159HK	0.131666141967707	0.688372567198992	-0.0643868904900252	1	NoSignificant	Root
L151	-0.483488976765358	0.000132030382153858	-0.679542009223091	0.0112225824830779	Down	Root
L201	0.393227501639683	0.23203882058935	0.197174469181951	1	NoSignificant	Root
L363	-0.375783004795753	0.000493149168394306	-0.571836037253486	0.041917679313516	Down	Root
L159	0.0414426056005515	0.331937549622759	-0.154610426857181	1	NoSignificant	Root
L334	0.285791395310183	0.0841333292656967	0.0897383628524504	1	NoSignificant	Root
L334HK	0.0474796269225174	0.0272639162333742	-0.148573405535215	1	NoSignificant	Root
L335	0.190248261238977	0.934751702280224	-0.00580477121875542	1	NoSignificant	Root
L335HK	-0.0609722630381466	0.000622717978250363	-0.257025295495879	0.0529310281512809	Down	Root
L145	-0.574361628925562	4.26456643753097e-19	-0.770414661383295	3.62488147190132e-17	Down	Root
L145HK	0.240678160840704	0.45535661283313	0.0446251283829717	1	NoSignificant	Root
L222	0.134481890637902	0.340949537848077	-0.0615711418198307	1	NoSignificant	Root
L222HK	-0.104513758630193	4.54511349093188e-05	-0.300566791087926	0.00386334646729209	Down	Root
L226	0.0844013524804299	0.69915360514725	-0.111651679977303	1	NoSignificant	Root
L177	0.127411136101115	0.79695387182806	-0.0686418963566179	1	NoSignificant	Root
L176	-0.398380255332604	0.0215630081000559	-0.594433287790336	1	NoSignificant	Root
L247	0.122230682069169	0.786665779463937	-0.0738223503885631	1	NoSignificant	Root
L177HK	0.883753940784975	0.00914811131572265	0.687700908327242	0.777589461836425	NoSignificant	Root
L176HK	0.309030933949643	0.681236185527969	0.112977901491911	1	NoSignificant	Root
L247HK	0.589859866910409	0.157515601582649	0.393806834452676	1	NoSignificant	Root
L226HK	-0.313951941178167	0.0817180608045821	-0.5100049736359	1	NoSignificant	Root
L164	-0.064345192729877	0.0168780485331593	-0.260398225187609	1	NoSignificant	Root
L164HK	0.419676383359155	0.0335739166260442	0.223623350901423	1	NoSignificant	Root
L288	0.397899417971314	0.0893080681096601	0.201846385513581	1	NoSignificant	Root
L288HK	0.477115355971737	0.0019863614600937	0.281062323514004	0.168840724107964	NoSignificant	Root
L306	0.562217972033891	0.000464091840523839	0.366164939576159	0.0394478064445263	Up	Root
L306HK	0.292948143399405	0.361428198314986	0.0968951109416727	1	NoSignificant	Root
L50	0.477415525636725	0.0160790009691317	0.281362493178993	1	NoSignificant	Root
L50HK	0.225569162809332	0.73343237480021	0.0295161303515994	1	NoSignificant	Root
RCL69	-0.461442817236916	3.02653316083348e-12	-0.657495849694649	2.57255318670846e-10	Down	Root
RCL69HK	0.0394481351375335	0.0100653373657152	-0.156604897320199	0.855553676085794	NoSignificant	Root
RMF88	0.374662666793571	0.0075692961600499	0.178609634335838	0.643390173604242	NoSignificant	Root
RMF88HK	-0.178474795038063	9.42227076405498e-10	-0.374527827495796	8.00893014944673e-08	Down	Root
RMF279	0.254356767627593	0.34198311531403	0.0583037351698605	1	NoSignificant	Root
RMF279HK	-0.0209981032526217	0.000327332377955714	-0.217051135710354	0.0278232521262357	Down	Root
RMF300	0.300441092881495	0.119075112036865	0.104388060423762	1	NoSignificant	Root
RMF300HK	0.055481910952968	0.0165649840857642	-0.140571121504765	1	NoSignificant	Root
RMF110	-0.0116099206468162	0.00551369811648649	-0.207662953104549	0.468664339901352	NoSignificant	Root
RMF110HK	0.200359583571944	0.944904682726131	0.00430655111421147	1	NoSignificant	Root
RCL130	-3.05809917775656	4.00191431689716e-123	-3.25415221021429	3.40162716936258e-121	Down	Root
RCL130HK	0.189803771869081	0.918370372468777	-0.00624926058865147	1	NoSignificant	Root
RCL58	-2.62293195797968	6.52203840506522e-107	-2.81898499043741	5.54373264430544e-105	Down	Root
RCL58HK	0.0894320837597686	0.13495401006342	-0.106620948697964	1	NoSignificant	Root
RCL52	-2.17435576319643	6.90265360468729e-60	-2.37040879565416	5.8672555639842e-58	Down	Root
