Strains	Propidium_p.value	Propidium_Mean	Propidium_est	Propidium_ci	Propidium_p.adj	Suberin_p.value	Suberin_Mean	Suberin_est	Suberin_ci	Suberin_p.adj
EColi	0.334718133842868	0.0932644747296309	-0.0206458137491828	0.0339233347496223	0.473614774417119	0.0181247881409118	0.601280730837537	0.189879672687944	0.124292726363452	0.0282393702869637
EColi_Fluorescent	0.000758745227239862	0.0397805818776382	-0.0719076528262857	0.00994455441240025	0.0175354452517657	0.0103656205286711	0.444248882980688	0.118441396349671	0.0659314411311006	0.018271602287827
L1	0.0627219878177616	0.0680862202098908	-0.0433213433340331	0.0146115227248778	0.158456788180729	0.50649677009086	0.366894230769231	0.0271947311523782	0.0894909015344642	0.549310195324101
L10	0.208454540415196	0.0768662275685365	-0.0345413359753875	0.042925119048169	0.334189334697635	2.94380840295411e-08	1	0.660300500383147	0	6.87629272292041e-07
L100	0.00951283179303803	0.0579973219278553	-0.0549762153469106	0.0318866687161493	0.0599596670591488	0.0128651544958935	0.689773062186855	0.284621110736769	0.246125581735695	0.0215802591544021
L102	0.438415822769018	0.0974351519574358	-0.0273356255896485	0.0351169001329645	0.573525101483999	0.171786048509903	0.481793576577329	0.133237254850275	0.238754238801538	0.208956129181636
L104	0.117127370867252	0.0732979957611924	-0.0514727817858919	0.0233986605872424	0.230629147528829	0.0539507362887939	0.546294757522789	0.197738435795735	0.198112732334213	0.0757692806123883
L106	0.318914021262878	0.0907739495345546	-0.0339968280125297	0.0425863652552801	0.454343263169032	0.00601766639756872	0.657761059891547	0.309204738164493	0.183972060260623	0.011483253309122
L108	0.403793622896557	0.094908283921721	-0.0298624936253633	0.0391221816685352	0.538391497195409	0.0298828900081218	0.506974518749305	0.158418197022251	0.0321717640990201	0.0442394385885363
L11	0.0798101777978646	0.0661834233595941	-0.0452241401843299	0.0321532958209546	0.186522662718605	1.7357395362576e-09	1	0.660300500383147	0	6.01723039235969e-08
L111	4.67151531959974e-05	0.038195197779995	-0.064405523361203	0.00838471544636635	0.00242918796619187	0.000643807518751684	0.543593034698156	0.194231205823949	0.0777628137565892	0.00179747602550806
L112	0.179568798590039	0.0761482073264741	-0.0486225702206102	0.0256692022360409	0.301212178280065	0.185804667645679	0.436254229783642	0.0876979080565881	0.0916128520458276	0.224042729682905
L113	0.833963356499666	0.133712445695924	0.00894166814884004	0.0941877597439162	0.880529838334672	0.0233613351271854	0.607688172043011	0.259131850315957	0.249125287223877	0.0355982249557111
L117	0.600526195302995	0.1057657171878	-0.0190050603592841	0.0497146315924725	0.707702258487382	0.0236325035234274	0.534939570122957	0.186383248395904	0.12060818677945	0.0358800053494371
L119	0.412917134557185	0.0936389126420255	-0.0311318649050589	0.059098677305876	0.548797213980156	0.0873268813361965	0.471905773538455	0.123349451811402	0.0838196235005184	0.117187040760831
L121	0.176232741869667	0.0765054875695078	-0.0482652899775765	0.0146511898169109	0.298019596007242	0.00152760908670802	0.687176259717243	0.33861993799019	0.141382175456239	0.00373814929453257
