Strains	Propidium_p.value	Propidium_Mean	Propidium_est	Propidium_ci	Propidium_p.adj	Suberin_p.value	Suberin_Mean	Suberin_est	Suberin_ci	Suberin_p.adj
EColi	0.946048878801174	0.0951895336624521	-0.0187207548163616	0.720747088022509	0.959893496539728	0.0181378480119687	-0.096568046348233	0.781288684829921	0.511421256102639	0.0307973256039958
EColi_Fluorescent	4.00193130311575e-07	-1.04114804381026	-1.15283627851418	0.211285496762628	8.32401711048075e-06	0.0105381779515261	-0.742699378637389	0.48734507213699	0.271284904808715	0.0206786888105417
L1	0.00126030289721755	-0.439756507477985	-0.551164071021909	0.310441545126917	0.0062415000624107	0.50895256114547	-1.06098681634057	0.111896842013536	0.368223874490303	0.554252003760512
L10	0.293080619075635	-0.25321338654762	-0.364620950091544	0.912002159732597	0.420419094949876	7.53421848451056e-06	1.54402280263771	2.71690646099182	0	9.49768148350422e-05
L100	0.0346304369857761	-0.654108784805713	-0.767082322080479	0.677475365954668	0.0816964444602747	0.0319555914433469	0.267547059806739	1.17111668739716	1.0127210002795	0.0492352816312308
L102	0.818307199481802	0.183801207285006	0.0590304297379212	0.746105997479898	0.875013474911396	0.196088984070497	-0.588216047866804	0.548224873883142	0.982390492832707	0.237130864457345
L104	0.0635968257773207	-0.329025293116184	-0.453796070663269	0.497136163244381	0.132946128258118	0.057399968706522	-0.322816165312368	0.813624756437578	0.815164856260503	0.0809436846844514
L106	0.813135783230503	0.0422749603975714	-0.0824958171495129	0.904804877638036	0.871815685113116	0.00675148077658938	0.135828825737644	1.27226974748759	0.756980918345554	0.0137677255052019
L108	0.985020662478451	0.130114481259968	0.00534370371288384	0.831203616118498	0.985020662478451	0.0341779583409973	-0.484605245752912	0.651835675997035	0.132375598218406	0.0522721715803488
L11	0.0433813007172449	-0.480183997849198	-0.591591561393122	0.683140219094686	0.0959926654168823	7.53421848451056e-06	1.54402280263771	2.71690646099182	0	9.49768148350422e-05
L111	6.01989966016866e-08	-1.07483167132528	-1.17743239246648	0.178144610088287	2.0290465589271e-06	0.00074836932677617	-0.333932813253411	0.799193727284941	0.319966880227391	0.00257290611519741
L112	0.037767389160487	-0.268468696865053	-0.393239474412137	0.545376888800513	0.0868023971865336	0.191862935720257	-0.775594590608059	0.360846331141887	0.376954961398284	0.233377138186043
L113	0.278687167822694	0.954561334976873	0.829790557429789	2.00114623352432	0.40821782328958	0.0363136661353849	-0.0702036586195027	1.06623726313044	1.0250637430416	0.0551331573442341
L117	0.447363117388132	0.360795322860085	0.236024545313	1.05625452853763	0.562955280184612	0.0241909291974677	-0.369538804466016	0.76690211728393	0.496260659683667	0.03900552924863
L119	0.952185375859381	0.10314497309656	-0.0216258044505246	1.25563126056368	0.963769139555967	0.0755669553440015	-0.628900911721583	0.507540010028364	0.344888541678095	0.10409222987783
L121	0.00398899113441759	-0.260877795302012	-0.385648572849096	0.31128432610008	0.0156549086029973	0.00152762698663893	0.256862122564507	1.39330304431445	0.581738383877102	0.00442515001652486
L122	0.00108482609033418	-0.545757984585726	-0.67052876213281	0.440801639713215	0.00550350797047586	0.127627626228434	-0.688905198491658	0.447535723258288	0.480817680732549	0.166959410412039
L123	1.70866995541795e-05	-0.542255498667214	-0.667026276214298	0.188000850640586	0.000174168540352702	0.0875895199752258	-0.518463002541953	0.617977919207994	0.661162796995346	0.119466361671128
L125	0.447928359954583	0.446217573140327	0.321446795593242	1.1732540487061	0.562955280184612	0.0259576589261427	-0.145365732161842	0.991075189588104	0.799275206746441	0.0410585023318455
L126	4.84774992836208e-08	-0.979564206032506	-1.09897117604475	0.216872445504587	1.9399940876913e-06	1.79131425571151e-07	1.19329057500617	2.40322073604129	0.407434851237893	1.24197788395998e-05
