Strains	lavene	p.value	p.valueW	Mean	fc	ci	p.adj
L361	0.835428548047239	0.32779191278979	0.529619299003452	0.0984547613264744	-0.0110623211488283	0.0230857357815175	0.465397391537723
L357	0.464454858801466	0.172390263924234	0.254790856059056	0.0929263371478103	-0.0165907453274924	0.0201428529331815	0.296340288398683
L363	0.719948906922224	0.021949173953378	0.00669087956080912	0.0888604867977051	-0.0206565956775976	0.0107679534173596	0.0917670207638062
L347	0.252954791047147	0.284108384720536	0.515216272696771	0.0918952674495879	-0.0176218150257148	0.0297277736113958	0.412028406529045
L359	0.954516981406792	0.019475811007391	0.0353443284075279	0.0839556147700198	-0.0255614677052829	0.0157135602150842	0.090021526434163
L350	0.768133913932909	0.0352333902580165	0.0735300222291186	0.0857391501741434	-0.0237779323011593	0.0165176091193347	0.116326113867737
L354	0.556966359057923	0.000474386940969898	0.00796941302412179	0.0699169803349004	-0.0396001021404023	0.0103255975408026	0.0138646680402937
L371	0.988723369509157	0.00130869044423198	0.00568125613068249	0.0729417548554884	-0.0365753276198143	0.0127094163697886	0.0187729387862243
L351	0.841075187115407	0.00629387210425119	0.00568125613068249	0.0819039754388534	-0.0276131070364494	0.0119685225287274	0.0476045599157908
L369	0.94501724050515	0.163157306286657	0.0814397323045029	0.0941733240204464	-0.0153437584548564	0.0189765365082102	0.288823146447869
L205	0.00852424776530477	0.0822741899793784	0.0199644533052161	0.0477805207317739	-0.0775149333997609	0.0138403290495115	0.187914401767244
L201	0.0166584879776214	0.0761684701007724	0.0199644533052161	0.04582572631094	-0.0794697278205948	0.0196474607751364	0.182103928516789
L226	0.00532459855551049	0.062849447235145	0.0142140388690821	0.038468980919668	-0.0868264732118669	0.0131825194771574	0.158456788180729
L179	0.00310692754155035	0.0878111257861952	0.0142140388690821	0.0497172819880041	-0.0755781721435307	0.00989783895042384	0.194476918372669
L216	0.0055397997345411	0.0641025827306819	0.0199644533052161	0.0385083039536834	-0.0867871501778514	0.00891840710326818	0.160642616963636
L171	0.0211622788546202	0.0886322722139431	0.0373364159206629	0.0510620547137887	-0.0742333994177462	0.0227200209482392	0.195084789634922
L222	0.00407544611477596	0.0697526606369766	0.0199644533052161	0.0413219919034922	-0.0839734622280426	0.00579307395385424	0.171698856952558
L183	0.0146442342249746	0.0625081530802258	0.0199644533052161	0.0388469886065896	-0.0864484655249453	0.0179624364628376	0.158456788180729
L176	0.00748234291469949	0.0711330172088665	0.0199644533052161	0.0426697198770568	-0.082625734254478	0.0128641005136323	0.174066677405226
L172	0.0223129538329781	0.113925997465121	0.0661925797221935	0.0588999694322084	-0.0663954846993265	0.0234837905611197	0.227851994930242
L203	0.0100553981339732	0.0771457183054928	0.0251814644044597	0.0461654416113871	-0.0791300125201477	0.0174306544145278	0.18276190923468
L168	0.0163600557158241	0.144841358991129	0.109819408815237	0.066071123240699	-0.0592243308908359	0.0204456186015954	0.266610643098714
L170	0.0407384042386447	0.298798253263268	0.665005542102029	0.0865760464634749	-0.0387194076680599	0.0311198938446675	0.431597476935831
L177	0.109240665853419	0.0380615522548281	0.0661925797221935	0.0470250496609164	-0.0782704044706185	0.036962595064812	0.117913515901425
L104	0.272948651768527	0.117127370867252	0.249152638581927	0.0732979957611924	-0.0514727817858919	0.0233986605872424	0.230629147528829
L112	0.288859657008143	0.179568798590039	0.27034414065478	0.0761482073264741	-0.0486225702206102	0.0256692022360409	0.301212178280065
L131	0.446319746051051	0.267070534020231	0.805700796720207	0.0833220515751841	-0.0414487259719002	0.0470267000098141	0.396790507687201
L122	0.258069844046673	0.0981962528224943	0.0661925797221935	0.063097058752789	-0.0616737187942953	0.0207471689177422	0.206857643706476
L129	0.2557260287351	0.725580049264104	0.676103314023147	0.114157059591743	-0.0106137179553411	0.022224915269772	0.809226006685972
L113	0.967321597217061	0.833963356499666	1	0.133712445695924	0.00894166814884004	0.0941877597439162	0.880529838334672
L102	0.392247147344356	0.438415822769018	0.902523250177679	0.0974351519574358	-0.0273356255896485	0.0351169001329645	0.573525101483999
L117	0.425885380564691	0.600526195302995	0.713303173878458	0.1057657171878	-0.0190050603592841	0.0497146315924725	0.707702258487382
L125	0.550998691198407	0.683874584271273	0.902523250177679	0.109786278130021	-0.0149844994170633	0.055221436897937	0.777300073925818
L123	0.163973289310607	0.0611350116816217	0.0121857803553448	0.0632619099249186	-0.0615088676221657	0.0088486181844902	0.157251415217681
L119	0.508007200842712	0.412917134557185	0.902523250177679	0.0936389126420255	-0.0311318649050589	0.059098677305876	0.548797213980156
L106	0.483712859145952	0.318914021262878	0.530869303968508	0.0907739495345546	-0.0339968280125297	0.0425863652552801	0.454343263169032
L121	0.226640606903811	0.176232741869667	0.11134688653314	0.0765054875695078	-0.0482652899775765	0.0146511898169109	0.298019596007242
L108	0.413200978993257	0.403793622896557	0.54029137460742	0.094908283921721	-0.0298624936253633	0.0391221816685352	0.538391497195409
L141	0.457916307865112	2.65140833661524e-05	0.0121857803553448	0.0422462361011377	-0.0603544850400604	0.00993268337941111	0.00206986173997134
L139	0.968675591434059	0.000307638484514452	0.0121857803553448	0.0547299014532298	-0.0478708196879683	0.0141347191119619	0.0105297317561885
L145	0.106058401933384	0.249509150894094	0.403395304892628	0.123419947354257	0.0208192262130588	0.0433977183873828	0.37743929735252
L167	0.802671854022101	0.000277920460498321	0.00811311726556578	0.053669973526565	-0.0489307476146331	0.0151673418594038	0.0105104465061183
L154	0.415000824637294	0.135254385273872	0.14367208180696	0.0743925800490352	-0.0282081410921628	0.0440354226533403	0.252313113336013
L161	0.367162524988839	3.48294042783639e-05	0.0121857803553448	0.0468187406232784	-0.0557819805179197	0.00826960233058685	0.00206986173997134
L164	0.316990547642162	0.0935762420628186	0.14367208180696	0.132302662196313	0.0297019410551148	0.0399351503323121	0.201698013979961
L160	0.750632565721992	0.21708995162794	0.54029137460742	0.0870049176961573	-0.0155958034450407	0.0333847391222432	0.343381824628225
L159	0.0740780506392089	0.899843339926347	0.902523250177679	0.0995923282989754	-0.00300839284222271	0.07972562219756	0.9288705444401
L151	0.536109855709626	0.0467590355153218	0.0465329850745106	0.0779010392174151	-0.024699681923783	0.0238476218390859	0.129678391829159
L111	0.264676033849625	4.67151531959974e-05	0.0199644533052161	0.038195197779995	-0.064405523361203	0.00838471544636635	0.00242918796619187
