Strains	lavene	p.value	p.valueW	Mean	fc	ci	p.adj
EColi	0.924796744959962	0.0181247881409118	0.0278029624346493	0.601280730837537	0.189879672687944	0.124292726363452	0.0282393702869637
RMF339	0.317845848266905	0.00115136724670938	0.0121857803553448	0.835608465608466	0.424207407458873	0.202111491926222	0.00290284105837031
RMF340	0.426162847849291	0.281784069727465	0.834531622710929	0.46904845726356	0.0576473991139672	0.054574251776438	0.322926096436984
RMF345	0.167585903095073	1.29553129620746e-06	0.00749495751693525	1	0.588598941850407	0	1.58512064477148e-05
RMF348	0.312956449815274	0.0137859759118707	0.0121857803553448	0.561888345081622	0.150487286932029	0.0379393217204781	0.0227578015053103
RMF351	0.803701437831969	0.0499662588060735	0.11134688653314	0.55893592287264	0.147534864723047	0.124466125085454	0.071184807066187
RMF374	0.506111451506932	0.000354286266634483	0.0119252335930176	0.858293650793651	0.446892592644058	0.166415269030993	0.00113371605323035
RMF375	0.167585903095073	1.29553129620746e-06	0.0097007850682296	1	0.588598941850407	6.89261979826974e-17	1.58512064477148e-05
RMF376	0.559582812190329	0.000175451885888877	0.0121857803553448	0.754877013514436	0.343475955364843	0.0695441622703423	0.000634678126345851
RMF384	0.755666456063163	0.00618120691828962	0.0121857803553448	0.66209578170891	0.250694723559317	0.139412724394782	0.0117242434703446
RMF453	0.377188252825652	0.0988987708200543	0.0601028059388663	0.502286188107084	0.0908851299574906	0.0448998931802942	0.131786877762109
RMF455	0.167585903095073	1.29553129620746e-06	0.00749495751693525	1	0.588598941850407	0	1.58512064477148e-05
RMF467	0.549718014347202	0.163447003446253	0.0946929425994759	0.490551758183337	0.0791507000337441	0.0652128580906074	0.20057213402254
RMF491	0.400710624096681	0.115830431730146	0.14367208180696	0.32632703574824	-0.0850740224013528	0.0410384971771323	0.149644284471245
RMF499	0.774936172037537	0.0577828393390454	0.0373364159206629	0.560962208438164	0.149561150288571	0.146887669076645	0.0806632925001439
EColi_Fluorescent	0.986039425788709	0.0103656205286711	0.0215717479477209	0.444248882980688	0.118441396349671	0.0659314411311006	0.018271602287827
RCL123	0.565004370317651	0.000110380602466648	0.0121857803553448	0.557421565793626	0.23161407916261	0.0547052193695323	0.000445809035205105
RMF105	0.520108017031913	0.407083493561466	0.530869303968508	0.366599757667268	0.0407922710362524	0.106567293266642	0.454012689870161
RMF138	0.826861499990483	0.000165162635887716	0.0121857803553448	0.657757959803907	0.331950473172891	0.118150555455473	0.000613461219011516
RMF140	0.838901879999479	0.00180418029626564	0.0121857803553448	0.559723727703753	0.233916241072737	0.121317939565334	0.00433149357735626
RMF157	0.593445993231339	0.000125627967663362	0.0121857803553448	0.541233758582645	0.215426271951629	0.0462073911665328	0.000493030514603383
RMF166A	0.806387903209991	0.0117455482946609	0.0121857803553448	0.45100791251175	0.125200425880734	0.0778446649240179	0.0200251970925367
RMF212	0.891766365780443	0.0150541087388775	0.0367138563627041	0.439367049107563	0.113559562476547	0.0711509124063103	0.0242889530904418
RMF217	0.93762225279868	0.900248367099939	1	0.321185345781736	-0.00462214084927975	0.0666338699891228	0.913422733447743
RMF27	0.875575322447695	0.341746199200912	0.296269871484286	0.36944568650114	0.0436381998701243	0.0947216990203872	0.387374438331279
RMF300	0.267311462066678	0.000172304034513027	0.0121857803553448	0.652135709339407	0.326328222708391	0.116365732082271	0.000628758582082623
RMF305	0.0463442132306781	1.40953429091249e-05	0.00749495751693525	1	0.674192513368984	0	9.02101946183991e-05
RMF322	0.297066643119926	1.92401841793754e-05	0.0121857803553448	0.585004794663331	0.259197308032315	0.0325792608651626	0.000114341665980288
RMF363	0.552800017844527	3.47876560754506e-05	0.0121857803553448	0.592143198742912	0.266335712111896	0.0512294969536054	0.000183185631992246
RMF451	0.24841036043173	0.0246105436846222	0.0121857803553448	0.54788814897028	0.222080662339264	0.210832484519143	0.0368272883913771
L1	0.774619906025872	0.50649677009086	0.530869303968508	0.366894230769231	0.0271947311523782	0.0894909015344642	0.549310195324101
L10	0.258190752293847	2.94380840295411e-08	0.0150784984356425	1	0.660300500383147	0	6.87629272292041e-07
L11	0.200395581142309	1.7357395362576e-09	0.00749495751693525	1	0.660300500383147	0	6.01723039235969e-08
L16	0.200395581142309	1.7357395362576e-09	0.00749495751693525	1	0.660300500383147	0	6.01723039235969e-08
L17	0.410515104512334	3.7342649677326e-06	0.0119252335930176	0.925775978407557	0.586076478790705	0.132292262665131	3.7889127477482e-05
L2	0.0815451315862888	0.000208114177709486	0.0121857803553448	0.789876825189657	0.450177325572804	0.185217515273202	0.000733690660399545
L20	0.46266277636789	0.000450650832279444	0.0179428113356381	0.900793650793651	0.561094151176798	0.315718879492431	0.00135848366832064
L21	0.786428359682446	8.57768686956514e-07	0.0054941108756312	0.956521739130435	0.616822239513582	0.111764427636362	1.23045439232383e-05
L24	0.200395581142309	1.7357395362576e-09	0.00749495751693525	1	0.660300500383147	0	6.01723039235969e-08
L25	0.200395581142309	1.7357395362576e-09	0.0109094983642693	1	0.660300500383147	9.74763639899437e-17	6.01723039235969e-08
L29	0.200395581142309	1.7357395362576e-09	0.00749495751693525	1	0.660300500383147	0	6.01723039235969e-08
L4	0.6278259394598	1.73953350533941e-05	0.0097007850682296	0.937931034482759	0.598231534865906	0.172331075495035	0.000106418520326646
L5	0.261069644715049	0.000368260657037767	0.0119252335930176	0.863636363636364	0.523936864019511	0.23945155447775	0.00116057904036145
L76	0.00972238314248237	8.46412629585117e-05	0.00301593555304258	0.803623122301283	0.463923622684431	0.156593816984992	0.000366778806153551
