Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Description
AT2G05380,96.0797872296799,-1.09837063299297,0.180084629730143,-6.09919144481613,1.06606329033257e-09,2.6559634299523e-06,glycine-rich protein 3 short isoform
AT3G17790,78.416821873061,-0.896527214278132,0.184813863233425,-4.85097383168596,1.22856756649702e-06,0.000489731603357043,purple acid phosphatase 17
AT5G47000,8.8043960272388,-0.886307534631539,0.202078105245824,-4.38596518684379,1.15472590252003e-05,0.00207340918586728,Peroxidase superfamily protein
AT3G28740,530.098795506669,-0.860753121795492,0.157705397305606,-5.45798137857959,4.81578149078708e-08,4.93238360648612e-05,Cytochrome P450 superfamily protein
AT4G33550,32.3816600374554,-0.845185229567126,0.200972820693834,-4.20547030513494,2.60539797217759e-05,0.00363134174709591,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G07985,27.8249196616445,-0.797843874713189,0.197322763582604,-4.04334431683141,5.2694149493956e-05,0.00590026457058447,Expressed protein
AT2G35300,4.06628516182584,-0.790022397816105,0.193296425894002,-4.08710297752392,4.36793273184742e-05,0.00521301001667371,Late embryogenesis abundant protein, group 1 protein
AT1G59700,43.411287453314,-0.784831729277093,0.145849929389691,-5.38109091009658,7.40357910649736e-08,6.70730614416358e-05,glutathione S-transferase TAU 16
AT1G52342,273.192363817095,-0.784410591165221,0.195334889976141,-4.01572187775073,5.92641127202476e-05,0.00634015053459934,
AT5G20710,37.5121967107132,-0.784095565139254,0.200571571646644,-3.9093055845453,9.2561814284502e-05,0.00850866809669647,beta-galactosidase 7
AT2G47770,41.2686832470965,-0.770922971839492,0.197486654749399,-3.90367122688748,9.47444650966505e-05,0.00859326176249674,TSPO(outer membrane tryptophan-rich sensory protein)-related
AT2G46680,360.199295319427,-0.770602282973224,0.165911086839307,-4.64467021254336,3.40620121437184e-06,0.000942902727828405,homeobox 7
AT5G52570,5.98336575609975,-0.753355547666332,0.201808225064958,-3.73302697362231,0.000189192324963627,0.0138124257467035,beta-carotene hydroxylase 2
AT3G28210,81.0246592910752,-0.749252740133047,0.16824783348746,-4.45326828050295,8.45729725865693e-06,0.00175032839916834,zinc finger (AN1-like) family protein
AT3G10450,15.815925983268,-0.74427085123465,0.180135180783971,-4.13173511135076,3.60035178428091e-05,0.00443474349786985,serine carboxypeptidase-like 7
AT5G24210,9.73479997568947,-0.742089488091384,0.200084295657725,-3.70888422628052,0.00020817458000155,0.0143568427474425,alpha/beta-Hydrolases superfamily protein
AT2G34610,29.0305056744567,-0.740877903643218,0.155189888745576,-4.7740088586431,1.80594432518637e-06,0.000610072480428637,
AT5G51810,12.7202173171557,-0.740301090413794,0.181901080552874,-4.06980040010597,4.70534330423935e-05,0.00551659984687026,gibberellin 20 oxidase 2
AT3G53160,26.4207674499657,-0.738336517091941,0.187613447002556,-3.93541363312771,8.30535283790295e-05,0.00788257082915446,UDP-glucosyl transferase 73C7
AT4G13250,52.512134848736,-0.727912232423639,0.1255077479372,-5.7997394136007,6.64180500025373e-09,1.01829088815429e-05,NAD(P)-binding Rossmann-fold superfamily protein
AT5G03210,42.3228508861769,-0.727877504801824,0.195446383134936,-3.72417996755303,0.000195951110285973,0.0141059225624674,
AT1G07400,90.9066524713255,-0.726527048189003,0.20134022410349,-3.60845455210958,0.000308026460174645,0.0187173029809172,HSP20-like chaperones superfamily protein
AT5G39520,12.9962227318838,-0.726322407321437,0.200937265279754,-3.61467250144077,0.000300727528901648,0.0184993838843789,Protein of unknown function (DUF1997)
AT1G52343,15.2264215909491,-0.725633737211014,0.194012384143741,-3.74014133383054,0.000183916811577001,0.013526368898676,
