SI	UId	Type	Genotype	emmean	SE	df	lower.CL	upper.CL	Ion	p.adj_agfull	estimate_agfull	Significance_agfull	p.value_intra	p.adj_intra	estimate_intra	Significance_intra	Significance_intra_s
aba2.1_As75	NB_aba2.1_As75	NB	aba2.1	0.959600235674253	0.233123826813889	242	0.500389393488686	1.41881107785982	As75	7.35356587305346e-06	-1.35337566453542	Up	0.000243242097830472	0.00106510554959101	1.22803045036903	Significant	*
aba2.1_As75	SynCom_aba2.1_As75	SynCom	aba2.1	-0.268430214694777	0.233123826813889	242	-0.727641056880345	0.19078062749079	As75	0.39121374649863	-0.306157559906411	NoSignificant	0.000243242097830472	0.00106510554959101	1.22803045036903	Significant	*
aba2.1_B11	NB_aba2.1_B11	NB	aba2.1	-0.0390089834080082	0.270728809752535	242	-0.572294690105025	0.494276723289009	B11	0.387759291940122	-0.357753119511537	NoSignificant	0.431023524183786	0.576693511523676	-0.301991759825857	NoSignificant	NA
aba2.1_B11	SynCom_aba2.1_B11	SynCom	aba2.1	0.262982776417849	0.270728809752535	242	-0.270302930279168	0.796268483114865	B11	0.0313396416880967	-0.786954327142061	Up	0.431023524183786	0.576693511523676	-0.301991759825857	NoSignificant	NA
aba2.1_Ca43	NB_aba2.1_Ca43	NB	aba2.1	-0.576869517088216	0.190514800145223	242	-0.952148453691064	-0.201590580485367	Ca43	0.896000873315422	-0.0482820329514008	NoSignificant	0.000307585748490312	0.00126988973305286	-0.986592265485064	Significant	*
aba2.1_Ca43	SynCom_aba2.1_Ca43	SynCom	aba2.1	0.409722748396848	0.190514800145223	242	0.0344438117940004	0.785001684999697	Ca43	0.00936398821964491	0.655597058362305	Down	0.000307585748490312	0.00126988973305286	-0.986592265485064	Significant	*
aba2.1_Cd111	SynCom_aba2.1_Cd111	SynCom	aba2.1	-0.304296584438602	0.312555799056429	242	-0.91997372768175	0.311380558804545	Cd111	0.261751999536579	0.512745279294692	NoSignificant	0.0373146633946926	0.0832736503557233	0.925522669269557	NoSignificant	NA
aba2.1_Cd111	NB_aba2.1_Cd111	NB	aba2.1	0.621226084830955	0.312555799056428	242	0.00554894158780728	1.2369032280741	Cd111	0.070067399614543	-0.783491848013136	NoSignificant	0.0373146633946926	0.0832736503557233	0.925522669269557	NoSignificant	NA
aba2.1_Co59	SynCom_aba2.1_Co59	SynCom	aba2.1	0.472064263304684	0.252545510794796	242	-0.0254037059168688	0.969532232526237	Co59	0.0310014340951752	-0.735702019825901	Up	0.0132840924742562	0.0332389846325544	-0.890893524869908	Significant	*
aba2.1_Co59	NB_aba2.1_Co59	NB	aba2.1	-0.418829261565224	0.252545510794796	242	-0.916297230786777	0.0786387076563286	Co59	0.513663558694447	-0.266002480815362	NoSignificant	0.0132840924742562	0.0332389846325544	-0.890893524869908	Significant	*
